"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.273445067E1,1.080638528E0,-1.005339861E0,9.646165185E-3
1.283456367E1,-1.134181857E0,1.199468151E-1,4.390299916E-1
1.293467767E1,-3.608225584E-1,-1.084141016E0,-1.074073538E-1
1.303479067E1,1.227230310E0,-1.277266294E-1,-5.145488977E-1
1.313490367E1,-7.691139579E-1,1.165244818E0,3.829121590E-1
1.323501812E1,-7.378219366E-1,-1.528732479E-2,1.205846220E-1
1.333513112E1,4.738186002E-1,-1.156634212E0,-4.885150194E-1
1.343524412E1,1.213520050E0,1.021967888E0,2.699175775E-1
1.353535812E1,-1.788008213E-1,5.897915959E-1,-3.643452749E-2
1.363547112E1,-1.828662157E0,4.935646355E-1,-7.710335311E-3
1.373558412E1,1.185317039E0,-3.089689910E-1,3.619621992E-1
1.383569812E1,1.116209745E0,-6.103506684E-1,-1.529853195E-1
1.393581112E1,-1.076029181E0,-5.893034339E-1,-2.357057035E-1
1.403592412E1,-1.539337486E-1,-2.593078837E-2,-1.136372611E-1
1.413603812E1,6.903466582E-1,1.011482239E0,1.805100292E-1
1.423615092E1,-2.770498991E-1,2.893486917E-1,-1.308845636E-2
1.433626392E1,-1.434554458E0,4.761720300E-1,-5.357508063E-1
1.443637792E1,1.216127157E0,-8.779427409E-1,1.985781342E-1
1.453649092E1,7.684192657E-1,9.124650359E-1,8.140399456E-1
1.463660392E1,-2.448282093E-1,-1.321381927E0,-4.178601801E-1
1.473671792E1,-1.088906884E0,-5.484084487E-1,-4.234097600E-1
1.483683092E1,9.377400279E-1,3.694553971E-1,1.077156886E-1
1.493694392E1,5.920761824E-1,-8.117983341E-1,-2.631859183E-1
1.503705792E1,-8.196437359E-1,-3.547583580E0,-9.567824192E-3
1.513717092E1,-7.305604219E-1,-5.723607063E0,1.587488502E-1
1.523728454E1,-3.329418302E-1,-6.400251865E0,6.267511845E-1
1.533739754E1,-4.244778454E-1,-3.351956129E0,9.137402773E-1
1.543751154E1,3.185321810E-3,-1.242835164E0,1.078757167E0
1.553762454E1,3.131498694E-1,-3.078971207E-1,6.295172572E-1
1.563773754E1,1.274031401E-1,1.458411664E-1,-4.189875126E-1
1.573785154E1,6.453102231E-1,-3.004338145E-1,5.041177869E-1
1.583796454E1,-8.390031755E-2,1.166142941E0,7.401968837E-1
1.593807754E1,-6.160742640E-1,8.783238530E-1,-4.091059566E-1
1.603819154E1,2.581194043E-1,5.871707797E-1,3.926188946E-1
1.613830454E1,2.255433351E-1,3.988160491E-1,4.615749419E-1
1.623841687E1,-1.587561369E-1,-3.042321503E-1,-1.112223983E0
1.633852987E1,-1.375799328E-1,1.959303975E0,-8.334045410E-1
1.643864387E1,5.697201192E-2,-7.333882451E-1,8.063595891E-1
1.653875687E1,2.623387575E-1,-1.703012109E0,-8.656184375E-2
1.663886987E1,2.694033086E-1,-3.392134607E-1,-1.001908541E0
1.673898387E1,2.989195287E-1,-1.022847652E0,1.159242392E0
1.683909687E1,-4.756689370E-1,-1.126273036E0,3.876941800E-1
1.693920987E1,3.817697763E-1,7.240493298E-1,-9.567904472E-1
1.703932287E1,-3.440404534E-1,2.736831665E0,8.476248980E-1
1.713943687E1,-4.731396735E-1,6.734639406E-1,1.060190082E0
1.723955000E1,-2.141870707E-1,1.152177230E-1,-8.368906975E-1
1.733966300E1,-2.553751171E-1,6.646882296E-1,9.979755431E-2
1.743977700E1,1.799199134E-1,9.861335903E-2,8.264096379E-1
1.753989000E1,-2.335753292E-1,-6.936100125E-1,-1.102480292E0
1.764000300E1,3.584726527E-2,8.458769917E-1,-2.037134767E-1
1.774011600E1,7.362253219E-2,2.208840698E-1,9.593842626E-1
1.784023000E1,2.597672399E-3,1.900434494E-2,-9.431017637E-1
1.794034300E1,2.093044072E-1,7.897735238E-1,-1.304261446E0
1.804045600E1,2.655776441E-1,6.870040298E-1,1.959047467E-2
1.814057000E1,-1.495444477E-1,2.028871059E0,-4.729342759E-1
1.824068312E1,3.579440713E-2,1.883840799E0,-8.426187634E-1
1.834079612E1,-2.719427049E-1,2.443473101E0,-1.355158329E0
1.844090912E1,-2.994990051E-1,2.087144613E0,-1.472924352E0
1.854102312E1,-5.588180944E-2,1.563444018E0,-1.251080632E0
1.864113612E1,1.335473657E-1,4.743030965E-1,-1.326397419E0
1.874124912E1,-1.154165491E-1,9.285598993E-1,-6.560989618E-1
1.884136312E1,-3.307335675E-1,1.970420480E0,-3.811317980E-1
