"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.070096380E2,1.613682556E1,4.345619965E1,1.813250732E1
2.070997450E2,1.604838562E1,4.326145172E1,1.868148804E1
2.071898520E2,1.618595886E1,4.313665009E1,1.939428711E1
2.072799580E2,1.628800964E1,4.340816498E1,1.915582275E1
2.073700650E2,1.599269104E1,4.357707214E1,1.900784302E1
2.074601720E2,1.561450195E1,4.382865906E1,1.822366333E1
2.075502780E2,1.529881287E1,4.400425720E1,1.733361816E1
2.076403850E2,1.494725037E1,4.427304077E1,1.643054199E1
2.077304920E2,1.493823242E1,4.435966492E1,1.593121338E1
2.078205990E2,1.504263306E1,4.434407043E1,1.557028198E1
2.079107050E2,1.493577576E1,4.427874756E1,1.553240967E1
2.080008117E2,1.523831177E1,4.438214874E1,1.589685059E1
2.080909187E2,1.532267761E1,4.439369965E1,1.666580200E1
2.081810247E2,1.550343323E1,4.429462433E1,1.720394897E1
2.082711317E2,1.546879578E1,4.426194000E1,1.745562744E1
2.083612387E2,1.543052673E1,4.409221649E1,1.800915527E1
2.084513447E2,1.530285645E1,4.410166168E1,1.771398926E1
2.085414517E2,1.537854004E1,4.418836212E1,1.730953979E1
2.086315587E2,1.530307007E1,4.410160065E1,1.709014893E1
2.087216647E2,1.518438721E1,4.408789825E1,1.670935059E1
2.088117717E2,1.513693237E1,4.411103821E1,1.641815186E1
2.089018787E2,1.526634216E1,4.415087891E1,1.647189331E1
2.089919870E2,1.533099365E1,4.400099182E1,1.680444336E1
2.090820930E2,1.551423645E1,4.395735168E1,1.720797729E1
2.091722000E2,1.567405701E1,4.389460754E1,1.739077759E1
2.092623070E2,1.565475464E1,4.402148438E1,1.758670044E1
2.093524130E2,1.589721680E1,4.405410767E1,1.778866577E1
2.094425200E2,1.588989258E1,4.400238037E1,1.781854248E1
2.095326270E2,1.591925049E1,4.404159546E1,1.735647583E1
2.096227330E2,1.574066162E1,4.415599060E1,1.655886841E1
2.097128400E2,1.557925415E1,4.445634460E1,1.559857178E1
2.098029470E2,1.546318054E1,4.464776611E1,1.489230347E1
2.098930530E2,1.540335083E1,4.453431702E1,1.460586548E1
2.099831589E2,1.532882690E1,4.443018341E1,1.529098511E1
2.100732659E2,1.539381409E1,4.398331451E1,1.653616333E1
2.101633729E2,1.574440002E1,4.370806122E1,1.750033569E1
2.102534789E2,1.625297546E1,4.349758148E1,1.840945435E1
2.103435859E2,1.616993713E1,4.348667145E1,1.849508667E1
2.104336929E2,1.606773376E1,4.353057098E1,1.851623535E1
2.105237989E2,1.563941956E1,4.372344208E1,1.737677002E1
2.106139059E2,1.532376099E1,4.390154266E1,1.647109985E1
2.107040129E2,1.527389526E1,4.394684601E1,1.601672363E1
2.107941199E2,1.537939453E1,4.409198761E1,1.643594360E1
2.108842259E2,1.559060669E1,4.411222076E1,1.664511108E1
2.109743331E2,1.576535034E1,4.396936035E1,1.744030762E1
2.110644401E2,1.617607117E1,4.389518738E1,1.800662231E1
2.111545461E2,1.624237061E1,4.353259277E1,1.844912720E1
2.112446531E2,1.640643311E1,4.349360657E1,1.858599854E1
2.113347601E2,1.623078918E1,4.354148865E1,1.846188354E1
2.114248671E2,1.591532898E1,4.367765808E1,1.761245728E1
2.115149731E2,1.556442261E1,4.380000305E1,1.690069580E1
2.116050801E2,1.547079468E1,4.393580627E1,1.627740479E1
2.116951871E2,1.548234558E1,4.418616486E1,1.628207397E1
2.117852941E2,1.538887024E1,4.420220184E1,1.664169312E1
2.118754001E2,1.533209229E1,4.425516510E1,1.717416382E1
2.119655069E2,1.548155212E1,4.418604279E1,1.759362793E1
2.120556139E2,1.553363037E1,4.415457153E1,1.770501709E1
2.121457199E2,1.544293213E1,4.426754761E1,1.756823730E1
2.122358269E2,1.556430054E1,4.445726013E1,1.724371338E1
2.123259339E2,1.603941345E1,4.433477783E1,1.668450928E1
2.124160409E2,1.725724792E1,4.425970459E1,1.567108154E1
2.125061469E2,1.976788330E1,4.394155121E1,1.428851318E1
2.125962539E2,2.463600159E1,4.192594147E1,1.287316895E1
2.126863609E2,2.928665161E1,3.869026947E1,1.144314575E1
2.127764679E2,3.540527344E1,3.328518677E1,6.282836914E0
2.128665739E2,3.685142517E1,3.263469696E1,2.725219727E0
2.129566803E2,3.478564453E1,3.608650970E1,3.003143311E0
2.130467873E2,3.269644165E1,3.875263214E1,2.280059814E0
2.131368943E2,3.517929077E1,3.553797150E1,-1.431396484E0
2.132270003E2,3.819783020E1,3.029650879E1,-3.805358887E0
2.133171073E2,3.802684021E1,3.145758057E1,-4.854705811E0
2.134072143E2,3.520321655E1,3.679262543E1,1.272094727E0
2.134973213E2,3.610112000E1,3.531079102E1,1.498413086E-1
2.135874273E2,3.807205200E1,3.092499542E1,6.640625000E-1
2.136775343E2,3.817689514E1,3.134358978E1,-2.112365723E0
