"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.261993529E1,-4.484057054E-2,-2.394350767E-1,2.148605883E-2
1.271004329E1,-7.381015420E-1,9.675437212E-2,1.899563819E-1
1.280015129E1,-4.790757895E-1,-4.510027170E-1,-1.654708982E-1
1.289025829E1,6.614166498E-1,5.629902482E-1,-3.205087036E-2
1.298036721E1,9.159591794E-1,8.153802156E-1,-1.897151619E-1
1.307047521E1,-3.363213241E-1,7.253278792E-2,1.358599365E-1
1.316058321E1,-8.320964575E-1,-1.212149411E-1,1.816351265E-1
1.325069021E1,7.731568217E-1,7.453426719E-1,-1.394552290E-1
1.334079821E1,-1.526760012E-1,-5.865081772E-2,2.480945587E-1
1.343090621E1,-4.173497260E-1,2.540515065E-1,-5.788428709E-2
1.352101321E1,2.183769047E-1,-9.213802218E-1,-1.750687659E-1
1.361112121E1,9.305153489E-1,6.788753271E-1,-4.136621058E-1
1.370122921E1,-5.988868475E-1,-5.457216501E-1,2.385699749E-1
1.379133721E1,-1.220507383E0,-4.476948082E-1,5.248275399E-1
1.388144421E1,4.549863338E-1,3.767998423E-4,-2.267208546E-1
1.397155192E1,6.046535373E-1,-2.550587654E-1,-2.632415295E-1
1.406165992E1,-1.964453161E-1,-1.042915225E0,9.811402857E-2
1.415176692E1,-5.774874091E-1,-1.989513636E0,1.763987839E-1
1.424187492E1,-8.000158668E-1,-2.604033709E0,8.933198452E-1
1.433198292E1,-1.847717017E-1,-3.469710827E0,5.647761822E-1
1.442209092E1,-5.689084157E-2,-2.085040808E0,-4.769357145E-1
1.451219792E1,-4.812636971E-1,-1.360623360E0,5.836206675E-1
1.460230592E1,-3.172970414E-1,-8.013585210E-1,4.312368333E-1
1.469241392E1,-3.603448868E-1,-5.095909238E-1,1.771378517E-1
1.478252092E1,-7.141394168E-2,-1.600216478E-1,-3.650481254E-2
1.487262892E1,-7.364087552E-2,2.238278463E-2,9.791824222E-2
1.496273592E1,-3.655657470E-1,1.200389564E-1,-2.734034657E-1
1.505284392E1,2.117181942E-2,3.476100415E-2,3.811746538E-1
1.514295092E1,-1.058271248E-2,2.433701307E-1,2.877157927E-1
1.523305892E1,-2.726467550E-1,-2.529814541E-1,-5.141706765E-2
1.532316692E1,1.616016924E-1,9.974557906E-2,-2.173463702E-1
1.541327392E1,-3.502530605E-2,5.277151465E-1,-3.141217530E-1
1.550338192E1,-2.867630720E-1,5.970079899E-1,8.025031686E-1
1.559348992E1,1.448013335E-1,2.128592730E-1,5.361717939E-1
1.568359792E1,1.196698770E-1,-4.061046243E-1,-2.617576122E-1
1.577370492E1,-2.752968669E-1,-9.295550585E-1,-2.942441776E-2
1.586381292E1,2.215882391E-1,9.160545468E-1,1.145683751E-1
1.595392092E1,3.922484517E-1,2.149502784E-1,-5.448592454E-2
1.604402867E1,3.846702576E-1,7.465057373E-1,-2.403465509E-1
1.613413667E1,6.286457181E-2,-9.143269062E-2,5.802854896E-2
1.622424467E1,-1.072304249E-1,-7.355320454E-1,-1.664217189E-2
1.631435267E1,-6.922250614E-3,8.099003881E-2,9.718821943E-2
1.640445967E1,4.635085464E-1,2.855914831E-1,1.139869019E-1
1.649456767E1,-1.656186283E-1,-6.276468635E-1,1.992408484E-1
1.658467567E1,1.581149250E-1,-1.172847524E-1,4.248698652E-1
1.667478267E1,2.339371741E-1,-2.188957930E-1,3.675450385E-2
1.676489067E1,1.152908579E-1,-6.854834408E-2,-4.888875186E-1
1.685499867E1,5.362687111E-1,7.968034744E-1,-7.465667129E-1
1.694510667E1,-6.192223355E-2,3.133421659E0,-4.617310464E-1
1.703521317E1,-2.335967571E-1,-2.835837364E0,8.356561512E-2
1.712532117E1,-2.222343385E-1,-1.051844954E0,4.986993968E-1
1.721542917E1,-1.876734793E-1,-6.945700049E-1,1.818413138E-1
1.730553617E1,1.887770891E-1,3.041291535E-1,-6.262561083E-1
1.739564417E1,1.446226835E-1,2.463441133E0,-7.374902368E-1
1.748575217E1,8.136127889E-2,2.776841879E0,-6.577208638E-1
1.757586017E1,-7.805346698E-2,-2.084693432E0,2.318632603E-1
1.766596717E1,-2.307979316E-1,-1.250096321E0,5.572742820E-1
1.775607517E1,-1.531571150E-1,-1.387886405E0,2.819677591E-1
1.784618317E1,-2.192374170E-1,-2.175893039E-1,-1.700011641E-1
1.793629017E1,3.628481925E-1,3.798576817E-2,-2.429705560E-1
