"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.500496371E1,-3.955566287E-1,-2.131922722E0,9.110271931E-1
1.510507471E1,-2.322555706E-2,-1.286572695E0,1.166768670E0
1.520518671E1,3.125402331E-1,-1.057761192E0,1.312634349E0
1.530529771E1,2.461066842E-1,-4.704883695E-1,1.714175820E0
1.540540971E1,5.961894989E-1,4.507961869E-1,-1.724637598E-1
1.550552171E1,-2.657538056E-1,-1.442310452E0,-4.658849910E-2
1.560563271E1,3.402022421E-1,1.930692345E-1,-7.465814948E-1
1.570574471E1,6.003511548E-1,7.634311914E-1,-2.638974786E-1
1.580585783E1,-4.641822875E-1,-6.661691070E-1,-8.380870223E-1
1.590596883E1,-2.688473463E-1,5.061095953E-1,-1.165778995E0
1.600608083E1,2.420899570E-1,-7.020643353E-2,6.638275981E-1
1.610619283E1,5.330075696E-2,-2.101242393E-1,-1.122118115E0
1.620630383E1,-1.666023955E-2,-2.574950084E-2,-2.925592959E-1
1.630641583E1,3.423057199E-1,-8.764289618E-1,9.797978997E-1
1.640652783E1,3.384128809E-1,-3.834013045E-1,-1.886767149E0
1.650663883E1,-3.756222725E-1,-2.547191858E0,8.994053602E-1
1.660675083E1,-9.426211119E-1,-2.554008007E0,8.193206191E-1
1.670686283E1,3.220479786E-1,1.068888977E-1,-6.695046425E-1
1.680697296E1,-1.386866421E-1,-4.321123287E-2,8.435424566E-1
1.690708496E1,5.375481844E-1,-6.897222251E-2,-1.365048528E0
1.700719696E1,4.814243913E-1,3.063537598E0,6.870126724E-1
1.710730796E1,-5.450866222E-1,8.091316223E-1,1.593533278E0
1.720741996E1,-5.573659018E-2,1.306552440E-1,-1.201384425E0
1.730753196E1,6.773850918E-1,3.450160742E0,-1.819473505E0
1.740764296E1,7.195799947E-1,4.093002319E0,-1.227886438E0
1.750775496E1,8.330643177E-1,3.683771133E0,-9.740215540E-1
1.760786696E1,6.235010624E-1,2.374804020E0,-4.723918736E-1
1.770797796E1,8.791586012E-2,1.333388805E0,-5.680133700E-1
1.780808996E1,-6.550279260E-1,1.239107847E0,-3.145295084E-1
1.790820196E1,-3.031745851E-1,-4.954378307E-1,-2.381370366E-1
1.800831296E1,-8.289698511E-2,-1.477918744E0,-1.481980979E-1
1.810842496E1,2.226777747E-2,-5.955423713E-1,7.252898067E-3
1.820853696E1,6.817030907E-2,-7.116330862E-1,-2.286984026E-1
1.830864796E1,-7.475561649E-2,-1.220186114E0,-1.861734390E-1
1.840875996E1,7.658847421E-2,-2.279389381E0,3.190959245E-2
1.850887196E1,-1.026005149E-1,-4.864556789E0,-7.170767784E-1
1.860898296E1,6.688008904E-1,-2.979756117E0,-6.455277205E-1
1.870909496E1,3.608045876E-1,8.308542252E0,-9.806293249E-2
1.880920633E1,1.225427836E-1,2.944772243E0,-1.229104638E0
1.890931733E1,-2.754889727E-1,-1.341735649E1,1.163961887E0
1.900942933E1,5.203860402E-1,8.671079636E0,-7.921789885E-1
1.910954133E1,7.799360156E-1,6.534955978E0,-2.468002319E0
1.920965233E1,-8.886454701E-1,-5.253154784E-2,-4.917799234E-1
1.930976433E1,1.414014399E-1,-6.933875561E0,1.543537498E0
1.940987633E1,2.124674320E-1,-1.807370424E0,-4.757030606E-1
1.950998733E1,-1.785439104E-1,-1.859336615E0,-1.294019818E-1
1.961009933E1,5.246261507E-2,-3.694559634E-2,2.274739295E-1
1.971021133E1,4.408391118E-1,-2.063337862E-1,1.811374724E-1
1.981032333E1,3.735964298E-1,1.285320073E-1,-1.227488928E-2
1.991043533E1,-6.767697632E-2,-2.297197469E-2,-2.057281584E-1
2.001054733E1,4.376871884E-2,3.631924987E-1,-2.993345857E-1
2.011065833E1,2.200940102E-1,5.645051003E-1,-2.214250118E-1
2.021077033E1,6.522689760E-2,8.533003330E-1,-2.243549377E-1
2.031088233E1,-6.868737191E-2,1.863862634E0,-7.560772449E-2
2.041099333E1,-1.426054090E-1,1.326964974E0,-4.346840382E-1
2.051110533E1,-5.726176500E-1,1.252217054E0,-1.174820811E-1
2.061121733E1,-2.277264893E-1,2.683394432E0,7.893739641E-2
2.071132933E1,-3.172771335E-1,4.660029411E0,7.477605343E-2
2.081144021E1,-2.183398306E-1,2.490698338E0,-1.397513747E-1
2.091155221E1,-6.670197845E-1,1.697592974E0,-8.575299382E-2
2.101166421E1,1.084087610E0,-1.464737988E1,-3.190923855E-2
2.111177521E1,1.672588140E-1,3.216930628E-1,6.527852416E-1
2.121188721E1,-8.197492361E-1,1.233014393E1,-8.119913936E-2
2.131199921E1,-4.147787392E-1,1.934262753E0,-5.250132084E-1
2.141211021E1,4.662168622E-1,-6.426963329E0,4.838775396E-1
2.151222221E1,2.130329609E-1,-7.486311436E0,-7.491658628E-2
2.161233421E1,-4.765431285E-1,-3.690679669E-1,-2.001904845E-1
2.171244521E1,-3.988052011E-1,1.084575462E1,2.367165089E-1
2.181255675E1,2.632476762E-2,-1.321743488E0,7.272587717E-2
2.191266875E1,-1.805855334E-2,1.180330753E0,-1.711735129E-1
2.201277975E1,3.045813181E-2,-1.540359497E0,4.889979661E-1
2.211289175E1,1.589529514E-1,-2.440685987E0,6.652972102E-1
2.221300375E1,9.588176012E-2,-4.738119602E0,7.439436316E-1
2.231311475E1,-1.124916434E0,-3.660237074E0,1.846317887E0
2.241322675E1,-3.732965589E-1,-2.204075098E0,-2.910169587E-2
2.251333875E1,1.167649329E-1,3.108295500E-1,-1.366188884E0
2.261344975E1,-1.132246405E-1,1.835011244E-1,1.161339521E0
2.271356175E1,3.513112962E-1,2.591866814E-2,3.118178621E-2
2.281367437E1,1.253160387E-1,1.874563813E0,-7.910871506E-1
2.291378537E1,-1.536881626E-1,-1.495702982E0,7.883145809E-1
2.301389737E1,1.654065698E-1,3.928956985E-1,-1.079272747E0
2.311400938E1,-5.062537193E-1,-1.484297961E-1,9.747998118E-1
2.321412037E1,-6.223187968E-2,-5.972791910E-1,-2.604960501E-1
2.331423237E1,2.048953325E-1,1.370790362E0,-1.605883688E-1
