"Time (s)","X (µT)","Y (µT)","Z (µT)"
3.276348802E2,1.842214966E1,4.054708862E1,2.037542725E1
3.277349942E2,1.976953125E1,4.134106445E1,1.908825684E1
3.278351072E2,2.117002869E1,4.149113464E1,1.899496460E1
3.279352212E2,2.350289917E1,4.136680603E1,1.960791016E1
3.280353342E2,2.517979431E1,4.083963013E1,2.039056396E1
3.281354482E2,2.625987244E1,4.013983154E1,2.079229736E1
3.282355622E2,2.692358398E1,3.992567444E1,2.043432617E1
3.283356756E2,2.617269897E1,4.060385132E1,1.913580322E1
3.284357896E2,2.423504639E1,4.214964294E1,1.773287964E1
3.285359036E2,2.193238831E1,4.334637451E1,1.557287598E1
3.286360166E2,2.096672058E1,4.388040161E1,1.336285400E1
3.287361306E2,2.067407227E1,4.395230103E1,1.245809937E1
3.288362436E2,2.180949402E1,4.378234863E1,1.304812622E1
3.289363576E2,2.458044434E1,4.325268555E1,1.430450439E1
3.290364716E2,2.802677917E1,4.201132202E1,1.483129883E1
3.291365846E2,3.040036011E1,4.080877686E1,1.390344238E1
3.292366986E2,3.097781372E1,4.035523987E1,1.234210205E1
3.293368125E2,3.036085510E1,4.043086243E1,1.102899170E1
3.294369255E2,2.956144714E1,4.056819153E1,9.302062988E0
3.295370395E2,2.891749573E1,4.056797791E1,8.107452393E0
3.296371535E2,2.869429016E1,4.013945007E1,7.355834961E0
3.297372665E2,3.033923340E1,3.820805359E1,6.907531738E0
3.298373805E2,3.414021301E1,3.447605896E1,5.324005127E0
3.299374945E2,3.792269897E1,3.037950134E1,1.611846924E0
3.300376075E2,3.953460693E1,2.783139038E1,-4.475799561E0
3.301377215E2,3.983802795E1,2.574795532E1,-9.732696533E0
3.302378355E2,3.930944824E1,2.551316833E1,-1.251004028E1
3.303379486E2,3.926713562E1,2.466395569E1,-1.400973511E1
3.304380626E2,4.083081055E1,2.316023254E1,-1.159686279E1
3.305381766E2,4.265620422E1,2.205757141E1,-5.692962646E0
3.306382896E2,4.325149536E1,2.136526489E1,-1.091125488E0
3.307384036E2,4.382598877E1,2.048211670E1,9.412231445E-1
3.308385176E2,4.362062073E1,1.994670105E1,4.257537842E0
3.309386306E2,4.404714966E1,1.878944397E1,4.689361572E0
3.310387446E2,4.436645508E1,1.805799866E1,5.841156006E0
3.311388586E2,4.432281494E1,1.749826050E1,7.638397217E0
3.312389716E2,4.341183472E1,1.765991211E1,1.045736694E1
3.313390860E2,4.216395569E1,1.857302856E1,1.351501465E1
3.314392000E2,4.190669250E1,1.883291626E1,1.415972900E1
3.315393130E2,4.277001953E1,1.834217834E1,1.166741943E1
3.316394270E2,4.260719299E1,1.825819397E1,1.235220337E1
3.317395410E2,4.290217590E1,1.835778809E1,1.125860596E1
3.318396540E2,4.282299805E1,1.754974365E1,1.225399780E1
3.319397680E2,4.271311951E1,1.584483337E1,1.498605347E1
3.320398820E2,4.250985718E1,1.471496582E1,1.605645752E1
3.321399960E2,4.307707214E1,1.456278992E1,1.444491577E1
3.322401090E2,4.419276428E1,1.397570801E1,1.139398193E1
3.323402230E2,4.264732361E1,1.276818848E1,1.690841675E1
3.324403370E2,3.815693665E1,1.226892090E1,2.578155518E1
3.325404500E2,3.358164978E1,1.175502014E1,3.170407104E1
3.326405640E2,3.170956421E1,1.069161987E1,3.423696899E1
3.327406780E2,2.748683167E1,1.137307739E1,3.734719849E1
3.328407910E2,2.943862915E1,1.390536499E1,3.489443970E1
3.329409050E2,3.399382019E1,1.474700928E1,2.981448364E1
3.330410190E2,4.382048035E1,1.507907104E1,1.025848389E1
3.331411330E2,4.494285583E1,1.489608765E1,-5.715087891E0
3.332412460E2,4.383587646E1,1.512010193E1,-1.181689453E1
3.333413598E2,4.200790405E1,1.532112122E1,-1.742544556E1
3.334414738E2,4.028547668E1,1.572566223E1,-2.095211792E1
3.335415868E2,3.916474915E1,1.693572998E1,-2.216586304E1
3.336417008E2,4.095739746E1,1.736354065E1,-1.882180786E1
3.337418148E2,4.267306519E1,1.511885071E1,-1.581234741E1
3.338419288E2,4.318479919E1,1.130799866E1,-1.725402832E1
3.339420418E2,4.095925903E1,7.835372925E0,-2.392498779E1
3.340421558E2,4.196884155E1,1.059042358E1,-2.082064819E1
3.341422698E2,4.348074341E1,1.532627869E1,-1.421707153E1
3.342423828E2,4.262620544E1,2.021488953E1,-1.089178467E1
3.343424968E2,4.288168335E1,1.923765564E1,-1.077597046E1
3.344426108E2,4.404057312E1,1.586230469E1,-1.183325195E1
3.345427248E2,4.421487427E1,1.688760376E1,-9.432952881E0
3.346428378E2,4.367118835E1,1.965809631E1,-6.990203857E0
3.347429518E2,4.340322876E1,2.030545044E1,-6.888946533E0
3.348430658E2,4.364704895E1,2.014576721E1,-5.943145752E0
3.349431788E2,4.317787170E1,1.911239624E1,-9.027282715E0
3.350432928E2,4.283160400E1,1.757904053E1,-1.226184082E1
3.351434068E2,4.195573425E1,1.556755066E1,-1.683529663E1
3.352435208E2,4.080583191E1,1.222221375E1,-2.211300659E1
3.353436344E2,3.865879822E1,8.685073853E0,-2.714755249E1
3.354437484E2,3.524871826E1,8.826446533E0,-3.138851929E1
3.355438624E2,3.442866516E1,1.423564148E1,-3.055648804E1
3.356439754E2,3.592758179E1,1.702270508E1,-2.735632324E1
3.357440894E2,3.558012390E1,1.365667725E1,-2.930691528E1
3.358442034E2,3.566950989E1,1.249182129E1,-2.982705688E1
3.359443174E2,3.521615601E1,1.428701782E1,-2.980545044E1
3.360444304E2,3.582064819E1,1.687184143E1,-2.778695679E1
3.361445444E2,3.789305115E1,1.523820496E1,-2.579998779E1
3.362446584E2,3.733277893E1,1.176692200E1,-2.796917725E1
3.363447723E2,3.717541504E1,1.361701965E1,-2.710479736E1
3.364448853E2,3.853089905E1,1.712455750E1,-2.253652954E1
3.365449993E2,3.894718933E1,2.071699524E1,-1.931762695E1
3.366451133E2,4.031974792E1,2.394926453E1,-1.155688477E1
3.367452273E2,3.998046875E1,2.670950317E1,-5.825378418E0
3.368453403E2,3.811949158E1,2.987785339E1,-5.546447754E0
3.369454543E2,3.485440063E1,3.517807007E1,-2.852447510E0
3.370455683E2,3.166760254E1,3.930102539E1,4.587951660E0
3.371456823E2,2.806773376E1,4.144798279E1,1.235665894E1
3.372457953E2,2.567266846E1,4.173168945E1,1.865386963E1
3.373459087E2,2.654922485E1,4.097857666E1,1.892785645E1
