"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.534087296E1,2.070809937E1,1.622921753E1,-3.953424072E1
2.544098996E1,2.546997070E1,1.692066956E1,-3.597262573E1
2.554110696E1,2.960838318E1,1.740286255E1,-3.238720703E1
2.564122296E1,3.457057190E1,1.772755432E1,-2.639419556E1
2.574133996E1,3.739155579E1,1.948977661E1,-2.048123169E1
2.584145596E1,4.092312622E1,2.155107117E1,-7.537261963E0
2.594157296E1,4.048454285E1,2.300349426E1,5.586059570E0
2.604169071E1,3.338078308E1,2.613165283E1,2.137576294E1
2.614180671E1,2.957949829E1,2.658503723E1,2.646130371E1
2.624192371E1,3.114321899E1,2.253086853E1,2.820269775E1
2.634203971E1,4.167770386E1,2.008016968E1,-4.601135254E-1
2.644215671E1,3.911459351E1,1.904794312E1,-1.779946899E1
2.654227371E1,3.949455261E1,2.061502075E1,-1.437777710E1
2.664238971E1,3.518115234E1,2.529307556E1,1.882327271E1
2.674250671E1,2.772026062E1,2.585209656E1,2.933605957E1
2.684262271E1,2.917079163E1,2.277294922E1,2.969290161E1
2.694273971E1,4.220610046E1,1.996757507E1,2.002868652E0
2.704285558E1,4.010615540E1,1.952508545E1,-1.544009399E1
2.714297158E1,4.105441284E1,2.123075867E1,-7.309997559E0
2.724308858E1,3.037440491E1,2.548670959E1,2.678741455E1
2.734320558E1,2.506015015E1,2.587776184E1,3.201181030E1
2.744332158E1,2.221604919E1,2.502165222E1,3.434414673E1
2.754343858E1,2.029850769E1,2.289418030E1,3.722045898E1
2.764355458E1,2.873129272E1,1.930564880E1,3.263745117E1
2.774367158E1,4.397450256E1,1.409519958E1,7.469573975E0
2.784378858E1,4.015220642E1,9.811843872E0,-2.275198364E1
2.794390458E1,3.077033997E1,8.580184937E0,-3.542388916E1
2.804402196E1,2.567851257E1,9.422073364E0,-3.929913330E1
2.814413796E1,3.027809143E1,1.179414368E1,-3.488925171E1
2.824425496E1,2.805801392E1,8.019073486E0,-3.790258789E1
2.834437196E1,2.843664551E1,9.241836548E0,-3.700549316E1
2.844448796E1,2.965313721E1,7.521774292E0,-3.643475342E1
2.854460496E1,2.936428833E1,6.386932373E0,-3.667254639E1
2.864472096E1,2.992907715E1,7.853408813E0,-3.612335205E1
2.874483796E1,2.937594604E1,5.943695068E0,-3.681890869E1
2.884495496E1,2.938441467E1,7.011596680E0,-3.675198364E1
2.894507096E1,3.149742126E1,6.914627075E0,-3.485467529E1
2.904518763E1,3.029244995E1,5.139587402E0,-3.625790405E1
2.914530363E1,2.999308777E1,6.183471680E0,-3.630114746E1
2.924542062E1,2.961862183E1,7.114715576E0,-3.665646362E1
2.934553662E1,3.245507812E1,8.329925537E0,-3.389498901E1
2.944565363E1,4.158497620E1,1.048811340E1,-1.998226929E1
2.954577063E1,4.546704102E1,1.353439331E1,3.051055908E0
2.964588663E1,3.953984070E1,1.791366577E1,2.006610107E1
2.974600362E1,3.457347107E1,1.884729004E1,2.724829102E1
2.984612063E1,2.852954102E1,1.875390625E1,3.338870239E1
2.994623663E1,2.265353394E1,2.055677795E1,3.705746460E1
3.004635321E1,1.880755615E1,2.317218018E1,3.728610229E1
3.014646921E1,1.592930603E1,2.405392456E1,3.820101929E1
3.024658621E1,1.434953308E1,2.364581299E1,3.923867798E1
3.034670321E1,1.591564941E1,2.471954346E1,3.771966553E1
3.044681921E1,1.463798523E1,2.342497253E1,3.911965942E1
3.054693621E1,1.371479797E1,2.399458313E1,3.887216187E1
3.064705321E1,1.488470459E1,2.410961914E1,3.827853394E1
3.074717021E1,1.182684326E1,2.269985962E1,4.020373535E1
3.084728721E1,1.612835693E1,2.413995361E1,3.725579834E1
3.094740321E1,1.511434937E1,2.311105347E1,3.858187866E1
3.104752096E1,1.460675049E1,2.271485901E1,3.913061523E1
3.114763796E1,1.927973938E1,2.441902161E1,3.542169189E1
3.124775496E1,2.423059082E1,2.555015564E1,3.130871582E1
3.134787196E1,2.536611938E1,2.691207886E1,2.960253906E1
3.144798896E1,2.545703125E1,2.861572266E1,2.881790161E1
3.154810496E1,2.349516296E1,3.084042358E1,2.959326172E1
3.164822196E1,2.160331726E1,3.208642578E1,3.167431641E1
3.174833896E1,1.888014221E1,3.242315674E1,3.422695923E1
3.184845596E1,1.478547668E1,3.464517212E1,3.407736206E1
3.194857196E1,1.195825195E1,3.753962708E1,3.051077271E1
3.204868821E1,1.127232361E1,3.923829651E1,2.731054688E1
3.214880521E1,1.021502686E1,3.909300232E1,2.830957031E1
3.224892221E1,1.009239197E1,3.704425049E1,3.209460449E1
3.234903821E1,1.189338684E1,3.389607239E1,3.580514526E1
3.244915521E1,1.082965088E1,3.405731201E1,3.586679077E1
3.254927221E1,9.616058350E0,3.675518799E1,3.244589233E1
3.264938921E1,1.024943542E1,3.918521118E1,2.775897217E1
3.274950521E1,1.118635559E1,4.000413513E1,2.528759766E1
3.284962221E1,1.073327637E1,3.973567200E1,2.653674316E1
3.294973921E1,9.566848755E0,3.776341248E1,3.053512573E1
3.304985700E1,9.727844238E0,3.533317566E1,3.412832642E1
3.314997300E1,9.697631836E0,3.506050110E1,3.430175781E1
3.325009000E1,9.942062378E0,3.761958313E1,2.996810913E1
3.335020700E1,1.167506409E1,3.962327576E1,2.524624634E1
3.345032400E1,1.255906677E1,4.000134277E1,2.403381348E1
3.355044000E1,1.221166992E1,3.880480957E1,2.639611816E1
3.365055700E1,1.341859436E1,3.686460876E1,2.957467651E1
3.375067400E1,1.605740356E1,3.646417236E1,2.988082886E1
3.385079100E1,1.888346863E1,3.676589966E1,2.687231445E1
3.395090700E1,2.102867126E1,3.712532043E1,2.349276733E1
3.405102346E1,2.098495483E1,3.754078674E1,2.129580688E1
3.415114046E1,2.315553284E1,3.629673767E1,2.027639771E1
3.425125646E1,3.340122986E1,2.774185181E1,1.881777954E1
3.435137346E1,4.370274353E1,1.378900146E1,1.248999023E1
3.445149046E1,4.559259033E1,1.215304565E1,3.971252441E0
3.455160746E1,3.428924561E1,2.622740173E1,1.800161743E1
3.465172346E1,3.018020630E1,2.862655640E1,2.243670654E1
3.475184046E1,4.196069336E1,1.491546631E1,1.408239746E1
3.485195746E1,4.676187134E1,3.769332886E0,-1.069061279E0
3.495207346E1,4.253356934E1,1.395401001E1,8.786621094E0
3.505219008E1,3.032810974E1,2.765444946E1,2.282919312E1
3.515230708E1,3.775657654E1,1.969480896E1,1.820837402E1
3.525242408E1,4.583135986E1,2.318191528E0,7.738677979E0
3.535254008E1,4.646595764E1,-1.749435425E0,-2.410888672E-2
3.545265708E1,3.953431702E1,1.582102966E1,1.847836304E1
3.555277408E1,3.271817017E1,2.588148499E1,2.105981445E1
3.565289008E1,3.321673584E1,2.807127380E1,1.371295166E1
3.575300708E1,3.022554016E1,3.161465454E1,1.042614746E1
3.585312408E1,2.653027344E1,3.515754700E1,7.597900391E0
3.595324108E1,2.281341553E1,3.766499329E1,7.096862793E0
3.605335725E1,1.959767151E1,3.907475281E1,9.019439697E0
3.615347425E1,1.671701050E1,3.980079651E1,1.192825317E1
3.625359125E1,1.487078857E1,4.016181946E1,1.486914062E1
3.635370825E1,1.491772461E1,4.001087952E1,1.594433594E1
3.645382425E1,1.475015259E1,3.960610962E1,1.662347412E1
3.655394125E1,1.512973022E1,3.861141968E1,1.707308960E1
3.665405825E1,1.865577698E1,3.720300293E1,1.577133179E1
3.675417425E1,2.063778687E1,3.669139099E1,1.449981689E1
3.685429125E1,2.017878723E1,3.658357239E1,1.609716797E1
3.695440825E1,2.212425232E1,3.579791260E1,1.550915527E1
3.705452550E1,2.114210510E1,3.610092163E1,1.626028442E1
3.715464150E1,2.013972473E1,3.595858765E1,1.775604248E1
3.725475850E1,1.908033752E1,3.613882446E1,1.921612549E1
3.735487550E1,1.888891602E1,3.650610352E1,1.894061279E1
3.745499150E1,1.749003601E1,3.680137634E1,1.932131958E1
3.755510850E1,1.794232178E1,3.704197693E1,1.896768188E1
3.765522550E1,1.893273926E1,3.720191956E1,1.756613159E1
3.775534250E1,2.087194824E1,3.724195862E1,1.528610229E1
3.785545850E1,2.058132935E1,3.730751038E1,1.541931152E1
3.795557550E1,2.085003662E1,3.778723145E1,1.382546997E1
3.805569275E1,1.945874023E1,3.818363953E1,1.467434692E1
3.815580875E1,1.881277466E1,3.780134583E1,1.614620972E1
3.825592575E1,1.892150879E1,3.766418457E1,1.729425049E1
3.835604275E1,1.809112549E1,3.776402283E1,1.802664185E1
3.845615875E1,1.614529419E1,3.855334473E1,1.940115356E1
3.855627575E1,1.494453430E1,3.935093689E1,1.997772217E1
3.865639275E1,1.490940857E1,4.028581238E1,1.837072754E1
3.875650975E1,1.731880188E1,3.994697571E1,1.670281982E1
3.885662575E1,1.769451904E1,3.966011047E1,1.604138184E1
3.895674275E1,1.871978760E1,3.943769836E1,1.420309448E1
3.905685933E1,2.064503479E1,3.904832458E1,1.032110596E1
3.915697533E1,2.415917969E1,3.768786621E1,5.436676025E0
3.925709233E1,2.858789062E1,3.475244141E1,9.445495605E-1
3.935720933E1,3.233454895E1,3.145114136E1,-4.031372070E0
3.945732533E1,3.541419983E1,2.783834839E1,-5.929351807E0
3.955744233E1,3.746960449E1,2.442204285E1,-8.464324951E0
3.965755933E1,3.963468933E1,2.111766052E1,-9.016571045E0
3.975767633E1,3.979145813E1,1.818568420E1,-1.550997925E1
3.985779233E1,3.877563477E1,1.544557190E1,-2.127227783E1
3.995790933E1,3.801283264E1,1.279483032E1,-2.443359375E1
4.067783021E1,3.323243713E1,1.451586914E1,-3.039434814E1
4.077794621E1,3.170741272E1,1.406138611E1,-3.237524414E1
4.087806221E1,3.145777893E1,1.401158142E1,-3.242636108E1
4.097817821E1,3.142819214E1,1.390853882E1,-3.256912231E1
4.107829421E1,3.138682556E1,1.365386963E1,-3.267675781E1
4.117841021E1,3.209149170E1,1.399877930E1,-3.204190063E1
4.127852621E1,3.544709778E1,1.624337769E1,-2.687686157E1
4.137864221E1,3.946180725E1,2.069575500E1,-1.621102905E1
4.147875821E1,3.927070618E1,2.609500122E1,-5.396270752E0
4.157887433E1,3.610276794E1,3.129258728E1,3.254455566E0
4.167899033E1,3.230250549E1,3.528627014E1,8.986846924E0
4.177910633E1,2.883850098E1,3.802743530E1,1.126531982E1
4.187922233E1,2.513827515E1,4.034161377E1,1.319815063E1
4.197933833E1,2.151045227E1,4.128285217E1,1.499816895E1
4.207945433E1,1.928874207E1,4.138085938E1,1.663995361E1
4.217957033E1,1.853085327E1,4.129550171E1,1.742276001E1
4.227968633E1,1.792655945E1,4.162602234E1,1.827917480E1
4.237980233E1,1.837237549E1,4.178031921E1,1.968118286E1
4.247991733E1,2.017004395E1,4.110765076E1,2.194644165E1
4.258003467E1,2.241577148E1,3.988793945E1,2.361004639E1
4.268015067E1,2.459091187E1,3.914500427E1,2.320718384E1
4.278026667E1,2.442918396E1,4.012731934E1,2.034741211E1
4.288038267E1,2.078013611E1,4.197424316E1,1.843914795E1
4.298049767E1,1.748187256E1,4.324951172E1,1.576296997E1
4.308061367E1,1.666905212E1,4.371656799E1,1.388583374E1
