"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.250443288E2,2.138299561E1,4.009854126E1,1.135800171E1
1.251444427E2,2.218244934E1,4.014841461E1,1.175961304E1
1.252445558E2,2.272007751E1,4.026343536E1,1.230551147E1
1.253446698E2,2.245266724E1,4.112377167E1,1.328375244E1
1.254447827E2,2.124862671E1,4.224472046E1,1.449261475E1
1.255448967E2,2.012365723E1,4.315467834E1,1.573312378E1
1.256450098E2,1.931144714E1,4.355430603E1,1.686358643E1
1.257451238E2,1.964308167E1,4.357868958E1,1.748599243E1
1.258452374E2,1.999942017E1,4.334364319E1,1.732992554E1
1.259453514E2,2.000601196E1,4.313957977E1,1.730642700E1
1.260454644E2,2.014404297E1,4.293875885E1,1.659359741E1
1.261455784E2,2.022943115E1,4.300089264E1,1.611587524E1
1.262456914E2,2.069868469E1,4.304285431E1,1.473211670E1
1.263458054E2,2.060820007E1,4.276378632E1,1.381732178E1
1.264459184E2,2.033499146E1,4.251630402E1,1.269522095E1
1.265460324E2,1.987338257E1,4.233837891E1,1.187054443E1
1.266461454E2,1.964201355E1,4.240467834E1,1.131484985E1
1.267462594E2,1.960995483E1,4.257080078E1,1.109774780E1
1.268463717E2,1.976577759E1,4.301254272E1,1.136712646E1
1.269464857E2,2.009704590E1,4.306915283E1,1.171182251E1
1.270465987E2,2.048371887E1,4.336322784E1,1.245944214E1
1.271467127E2,2.087403870E1,4.363213348E1,1.355511475E1
1.272468257E2,2.131512451E1,4.378665924E1,1.474838257E1
1.273469397E2,2.191633606E1,4.395393372E1,1.540539551E1
1.274470527E2,2.214793396E1,4.388243103E1,1.580294800E1
1.275471667E2,2.179011536E1,4.360771179E1,1.569750977E1
1.276472797E2,2.135960388E1,4.376205444E1,1.480072021E1
1.277473937E2,2.055935669E1,4.382991028E1,1.355422974E1
1.278475067E2,2.009477234E1,4.389970398E1,1.236151123E1
1.279476207E2,1.936814880E1,4.374030304E1,1.121627808E1
1.280477338E2,1.898617554E1,4.387421417E1,1.089675903E1
1.281478478E2,1.905494690E1,4.387155914E1,1.099777222E1
1.282479607E2,1.953009033E1,4.370632172E1,1.173336792E1
1.283480747E2,2.041581726E1,4.364836884E1,1.199710083E1
1.284481878E2,2.178010559E1,4.325168610E1,1.181951904E1
1.285483018E2,2.284973145E1,4.304178619E1,1.124893188E1
1.286484148E2,2.312654114E1,4.244952393E1,1.087347412E1
1.287485288E2,2.323432922E1,4.149068451E1,1.079031372E1
1.288486422E2,2.371961975E1,4.035162354E1,1.123150635E1
1.289487562E2,2.469493103E1,3.860372162E1,1.207748413E1
1.290488692E2,2.504031372E1,3.631235504E1,1.419146729E1
1.291489832E2,2.486921692E1,3.365270233E1,1.761712646E1
1.292490962E2,2.349855042E1,3.108737183E1,2.133425903E1
1.293492102E2,2.026130676E1,2.960037994E1,2.496676636E1
1.294493232E2,1.556774902E1,2.954959869E1,2.715945435E1
1.295494372E2,1.091647339E1,3.091872406E1,2.731826782E1
1.296495502E2,7.306076050E0,3.199568939E1,2.752005005E1
1.297496642E2,6.151245117E0,3.189462280E1,2.803128052E1
1.298497775E2,6.413772583E0,3.114074707E1,2.799984741E1
1.299498915E2,6.564498901E0,3.142343140E1,2.680718994E1
1.300500045E2,6.507995605E0,3.162948608E1,2.642565918E1
1.301501185E2,6.439941406E0,3.114279175E1,2.691641235E1
1.302502315E2,6.339813232E0,3.132374573E1,2.687072754E1
1.303503455E2,6.242492676E0,3.123731995E1,2.711608887E1
1.304504585E2,6.155609131E0,3.088587189E1,2.761437988E1
1.305505725E2,5.727157593E0,3.163248444E1,2.731018066E1
1.306506865E2,5.946044922E0,3.111031342E1,2.779208374E1
1.307507995E2,6.316741943E0,3.163008881E1,2.715921021E1
1.308509133E2,6.166198730E0,3.129807281E1,2.734933472E1
1.309510263E2,6.602890015E0,3.077505493E1,2.788873291E1
1.310511403E2,6.295623779E0,3.178261566E1,2.676626587E1
1.311512533E2,6.598937988E0,3.180731964E1,2.680694580E1
1.312513673E2,6.846298218E0,3.256436920E1,2.591278076E1
1.313514803E2,7.868301392E0,3.248223877E1,2.577902222E1
1.314515943E2,1.134078979E1,3.040830231E1,2.734591675E1
1.315517073E2,1.833131409E1,2.733018494E1,2.775128174E1
1.316518213E2,2.821418762E1,2.299256897E1,2.435372925E1
1.317519343E2,3.805158997E1,1.794929504E1,1.517852783E1
1.318520485E2,4.290834045E1,1.420896149E1,5.586486816E0
1.319521625E2,4.453269958E1,1.275614929E1,-1.833648682E0
1.320522755E2,4.413168335E1,1.242073059E1,-9.571868896E0
1.321523895E2,4.353010559E1,1.247276306E1,-1.279464722E1
1.322525025E2,4.301489258E1,1.205153656E1,-1.589022827E1
1.323526165E2,4.320112610E1,1.268649292E1,-1.469906616E1
1.324527295E2,4.358818054E1,1.264855957E1,-1.331152344E1
1.325528435E2,4.375106812E1,1.287243652E1,-1.241613770E1
1.326529565E2,4.385421753E1,1.326652527E1,-1.108612061E1
1.327530705E2,4.395664978E1,1.341735840E1,-1.017068481E1
1.328531841E2,4.383222961E1,1.375465393E1,-9.727813721E0
1.329532971E2,4.364016724E1,1.438279724E1,-9.452758789E0
1.330534111E2,4.356900024E1,1.479885864E1,-9.022583008E0
1.331535241E2,4.350794983E1,1.518759155E1,-8.527374268E0
1.332536381E2,4.345135498E1,1.538572693E1,-7.972534180E0
1.333537511E2,4.344575500E1,1.564463806E1,-6.987182617E0
1.334538651E2,4.367010498E1,1.580774689E1,-5.967559814E0
1.335539781E2,4.379252625E1,1.558110046E1,-3.867553711E0
1.336540921E2,4.371423340E1,1.568825531E1,-8.230590820E-1
1.337542061E2,4.300476074E1,1.634747314E1,4.257476807E0
1.338543188E2,4.281996155E1,1.581764984E1,6.533386230E0
1.339544328E2,4.334049988E1,1.334680176E1,6.674133301E0
1.340545457E2,4.432577515E1,1.256647491E1,1.634918213E0
1.341546597E2,4.437397766E1,1.302726746E1,-5.627136230E-1
1.342547728E2,4.400079346E1,1.439086151E1,5.033569336E-1
1.343548868E2,4.311538696E1,1.455300140E1,6.948364258E0
1.344550008E2,4.198785400E1,1.420140076E1,1.157809448E1
1.345551138E2,4.164939880E1,1.385015869E1,1.294146729E1
1.346552278E2,4.262561035E1,1.453141785E1,8.948059082E0
1.347553408E2,4.344937134E1,1.507621765E1,4.136596680E0
1.348554549E2,4.370947266E1,1.539046478E1,-2.321777344E-1
1.349555679E2,4.356283569E1,1.522113800E1,-5.892089844E0
1.350556819E2,4.339961243E1,1.568744659E1,-7.024353027E0
1.351557959E2,4.366973877E1,1.574105072E1,-6.223114014E0
1.352559089E2,4.405783081E1,1.510565948E1,-2.731445312E0
1.353560229E2,4.419038391E1,1.402783966E1,3.412170410E-1
1.354561359E2,4.384597778E1,1.463014984E1,2.336212158E0
1.355562499E2,4.330830383E1,1.560030365E1,5.648742676E0
1.356563639E2,4.268807983E1,1.639506531E1,7.675781250E0
1.357564769E2,4.114556885E1,1.693179321E1,1.229928589E1
1.358565908E2,3.772221375E1,1.716381836E1,1.985317993E1
1.359567038E2,3.740467834E1,1.640672302E1,2.097796631E1
1.360568178E2,3.883358765E1,1.595162964E1,1.852536011E1
1.361569308E2,4.232444763E1,1.484991455E1,1.061401367E1
1.362570448E2,4.264997864E1,1.575711823E1,8.798614502E0
1.363571588E2,4.133020020E1,1.765804291E1,1.103912354E1
1.364572717E2,3.832606506E1,2.061430359E1,1.574856567E1
1.365573857E2,3.234834290E1,2.340919495E1,2.366589355E1
1.366574988E2,2.914108276E1,2.532503510E1,2.590982056E1
1.367576128E2,2.538615417E1,2.682691956E1,2.826107788E1
1.368577259E2,2.326612854E1,2.856130219E1,2.895605469E1
1.369578399E2,2.233929443E1,2.994091797E1,2.892248535E1
1.370579529E2,2.141368103E1,3.014288330E1,2.953369141E1
1.371580669E2,2.055308533E1,3.033489990E1,3.046530151E1
1.372581809E2,1.971542358E1,3.036713409E1,3.090966797E1
1.373582939E2,1.896958923E1,3.044735718E1,3.148883057E1
1.374584079E2,1.899845886E1,3.058804321E1,3.138934326E1
1.375585209E2,1.857978821E1,3.193579865E1,3.035305786E1
1.376586349E2,1.703173828E1,3.352662659E1,3.026977539E1
1.377587479E2,1.542129517E1,3.516677094E1,2.995898438E1
1.378588616E2,1.343659973E1,3.678318787E1,2.934884644E1
1.379589746E2,1.212535095E1,3.826742554E1,2.859741211E1
1.380590886E2,1.139149475E1,3.943072510E1,2.784539795E1
1.381592016E2,1.014132690E1,3.984191895E1,2.743920898E1
1.382593156E2,9.284698486E0,4.031803894E1,2.750991821E1
1.383594296E2,8.702163696E0,4.038996887E1,2.758062744E1
1.384595426E2,8.285644531E0,4.039485168E1,2.793420410E1
1.385596566E2,8.088867188E0,4.017814636E1,2.840029907E1
1.386597696E2,8.172454834E0,4.002059174E1,2.875280762E1
1.387598836E2,8.329177856E0,4.017714691E1,2.900122070E1
1.388599968E2,8.347030640E0,4.049919891E1,2.892593384E1
1.389601108E2,8.451049805E0,4.074481964E1,2.851101685E1
1.390602238E2,8.326446533E0,4.073109436E1,2.845864868E1
1.391603378E2,8.317916870E0,4.064659119E1,2.825057983E1
1.392604508E2,8.253692627E0,4.054443359E1,2.851290894E1
1.393605648E2,8.388031006E0,4.069406128E1,2.854089355E1
1.394606788E2,8.402099609E0,4.057978821E1,2.884265137E1
1.395607918E2,8.398406982E0,4.051646423E1,2.885726929E1
1.396609058E2,8.376022339E0,4.052719116E1,2.882568359E1
1.397610188E2,8.245941162E0,4.046508789E1,2.899777222E1
1.398611325E2,8.334289551E0,4.054994202E1,2.906042480E1
1.399612455E2,8.350814819E0,4.047418213E1,2.907028198E1
1.400613595E2,8.392227173E0,4.051687622E1,2.905728149E1
1.401614725E2,8.453948975E0,4.067213440E1,2.899130249E1
1.402615865E2,8.339462280E0,4.085298920E1,2.879959106E1
1.403616995E2,8.370910645E0,4.119351959E1,2.850170898E1
1.404618135E2,8.509857178E0,4.136093903E1,2.830545044E1
1.405619275E2,8.660049438E0,4.154947662E1,2.817681885E1
1.406620405E2,8.633438110E0,4.133394623E1,2.826214600E1
1.407621545E2,8.834930420E0,4.123929596E1,2.840756226E1
1.408622684E2,9.009445190E0,4.114031219E1,2.898693848E1
1.409623824E2,9.130523682E0,4.074893951E1,2.966918945E1
1.410624954E2,9.191528320E0,4.034165955E1,3.061495972E1
1.411626094E2,9.264373779E0,4.006468201E1,3.113739014E1
1.412627224E2,9.251129150E0,4.045158386E1,3.052145386E1
1.413628364E2,9.472747803E0,4.122016907E1,2.848205566E1
1.414629494E2,9.732040405E0,4.183111572E1,2.586434937E1
1.415630634E2,9.973175049E0,4.238715363E1,2.374121094E1
1.416631764E2,1.024967957E1,4.251445770E1,2.315328979E1
1.417632904E2,1.068292236E1,4.227642059E1,2.327648926E1
1.418634028E2,1.080899048E1,4.196962738E1,2.405593872E1
1.419635168E2,1.118927002E1,4.177043152E1,2.513049316E1
1.420636308E2,1.095223999E1,4.130506897E1,2.668237305E1
1.421637438E2,1.121054077E1,4.073773193E1,2.783300781E1
1.422638578E2,1.152281189E1,4.044338989E1,2.855676270E1
1.423639707E2,1.175566101E1,4.053091431E1,2.840652466E1
1.424640847E2,1.183711243E1,4.103196716E1,2.740472412E1
1.425641978E2,1.151640320E1,4.149944305E1,2.574475098E1
1.426643118E2,1.154727173E1,4.199432373E1,2.405377197E1
1.427644247E2,1.116558838E1,4.226681519E1,2.342376709E1
1.428645395E2,1.136860657E1,4.230619812E1,2.330511475E1
1.429646525E2,1.147195435E1,4.216384888E1,2.433535767E1
1.430647665E2,1.160266113E1,4.209137726E1,2.547625732E1
1.431648795E2,1.157049561E1,4.175652313E1,2.672351074E1
1.432649935E2,1.149345398E1,4.135756683E1,2.789785767E1
1.433651075E2,1.162504578E1,4.097211456E1,2.865209961E1
1.434652205E2,1.182957458E1,4.099471283E1,2.863378906E1
1.435653345E2,1.157550049E1,4.137438202E1,2.809320068E1
1.436654475E2,1.159118652E1,4.187770081E1,2.685653687E1
1.437655615E2,1.162196350E1,4.231903076E1,2.545877075E1
1.438656744E2,1.182731628E1,4.264923096E1,2.449581909E1
1.439657884E2,1.151879883E1,4.267201233E1,2.433309937E1
1.440659014E2,1.150811768E1,4.242544556E1,2.487979126E1
1.441660154E2,1.158186340E1,4.223960876E1,2.596392822E1
1.442661284E2,1.172282410E1,4.203341675E1,2.730374146E1
1.443662424E2,1.196803284E1,4.163015747E1,2.810351562E1
1.444663554E2,1.193572998E1,4.144496155E1,2.822772217E1
1.445664694E2,1.201808167E1,4.153016663E1,2.792742920E1
1.446665834E2,1.174754333E1,4.188237762E1,2.709948730E1
1.447666964E2,1.176382446E1,4.227051544E1,2.588186646E1
1.448668104E2,1.178773499E1,4.251998901E1,2.443634033E1
1.449669234E2,1.183824158E1,4.281510925E1,2.399514771E1
1.450670374E2,1.185891724E1,4.265640259E1,2.364599609E1
1.451671504E2,1.170629883E1,4.261694336E1,2.437820435E1
1.452672644E2,1.178019714E1,4.256681061E1,2.569497681E1
1.453673774E2,1.208862305E1,4.253084564E1,2.690408325E1
1.454674914E2,1.221058655E1,4.240409088E1,2.757238770E1
1.455676044E2,1.216064453E1,4.261415863E1,2.708203125E1
1.456677184E2,1.206997681E1,4.277648163E1,2.613934326E1
1.457678314E2,1.190896606E1,4.292830658E1,2.479623413E1
1.458679448E2,1.195544434E1,4.316133881E1,2.361694336E1
1.459680588E2,1.189118958E1,4.323322296E1,2.324285889E1
1.460681717E2,1.191708374E1,4.313776398E1,2.365289307E1
1.461682857E2,1.185267639E1,4.292105103E1,2.462719727E1
1.462683988E2,1.184931946E1,4.253913879E1,2.626229858E1
1.463685128E2,1.195405579E1,4.221710205E1,2.729318237E1
1.464686257E2,1.191085815E1,4.210002136E1,2.756579590E1
1.465687398E2,1.185899353E1,4.218057251E1,2.709375000E1
1.466688528E2,1.169729614E1,4.228477478E1,2.588473511E1
1.467689668E2,1.176426697E1,4.269037628E1,2.384173584E1
1.468690806E2,1.177465820E1,4.275711823E1,2.228573608E1
1.469691946E2,1.163923645E1,4.265820312E1,2.184759521E1
1.470693076E2,1.200759888E1,4.239799500E1,2.281750488E1
1.471694216E2,1.330435181E1,4.172452545E1,2.432043457E1
1.472695346E2,1.343275452E1,4.080433655E1,2.620956421E1
1.473696486E2,1.298121643E1,4.015837097E1,2.770132446E1
1.474697616E2,1.287066650E1,4.013900757E1,2.768206787E1
1.475698756E2,1.252035522E1,4.067821503E1,2.637075806E1
1.476699896E2,1.244560242E1,4.140871429E1,2.401980591E1
1.477701026E2,1.228398132E1,4.176289368E1,2.203189087E1
1.478702159E2,1.207781982E1,4.191143799E1,2.146365356E1
1.479703289E2,1.203111267E1,4.186241150E1,2.176388550E1
1.480704429E2,1.239115906E1,4.162793732E1,2.307348633E1
1.481705559E2,1.315170288E1,4.122848511E1,2.460528564E1
1.482706699E2,1.427656555E1,4.079161072E1,2.511822510E1
1.483707829E2,1.528663635E1,4.027420044E1,2.471914673E1
1.484708969E2,1.635334778E1,4.005209351E1,2.343322754E1
1.485710099E2,1.747497559E1,3.982290649E1,2.216738892E1
1.486711239E2,2.028688049E1,3.910083771E1,1.971994019E1
1.487712369E2,2.474481201E1,3.786517334E1,1.593872070E1
1.488713512E2,2.985501099E1,3.699052429E1,7.953552246E0
1.489714643E2,3.122033691E1,3.712486267E1,-7.772216797E-1
1.490715783E2,3.072956848E1,3.733371735E1,-6.524444580E0
1.491716912E2,3.037844849E1,3.757963562E1,-8.944122314E0
1.492718052E2,2.993363953E1,3.735712433E1,-1.115524292E1
1.493719183E2,3.108132935E1,3.535482788E1,-1.400390625E1
1.494720323E2,3.345326233E1,3.067697906E1,-1.861337280E1
1.495721453E2,3.598863220E1,2.228129578E1,-2.439215088E1
1.496722593E2,3.801325989E1,1.009472656E1,-2.800897217E1
1.497723733E2,3.826264954E1,-3.796051025E0,-2.770828247E1
1.498724862E2,4.184309387E1,-8.840660095E0,-1.749420166E1
1.499726002E2,4.479725647E1,2.042068481E0,4.077606201E0
1.500727132E2,3.280651855E1,2.549557495E1,1.890228271E1
1.501728272E2,2.222520447E1,3.516663361E1,2.137234497E1
1.502729402E2,3.192182922E1,2.381079865E1,2.189761353E1
1.503730542E2,4.122789001E1,3.694862366E0,1.749121094E1
1.504731672E2,4.368183899E1,-4.489471436E0,1.060815430E1
1.505732812E2,4.432838440E1,6.175216675E0,8.256134033E0
1.506733942E2,2.899977112E1,2.915997314E1,2.074176025E1
1.507735082E2,2.826344299E1,3.035662079E1,2.034555054E1
1.508736207E2,3.879960632E1,1.640141296E1,1.750549316E1
1.509737347E2,4.418093872E1,-1.054115295E0,1.079837036E1
1.510738477E2,4.528077698E1,-4.450080872E0,5.137542725E0
1.511739617E2,4.482699585E1,1.052788544E1,4.405944824E0
1.512740747E2,2.955491638E1,2.974416351E1,1.969000244E1
1.513741887E2,3.172923279E1,2.737185669E1,1.920175171E1
1.514743017E2,4.116601562E1,1.024807739E1,1.611401367E1
1.515744157E2,4.513064575E1,5.308532715E-2,7.197265625E0
1.516745297E2,4.496824646E1,2.090286255E0,7.444305420E0
1.517746427E2,4.205595398E1,1.321952057E1,1.165478516E1
1.518747566E2,3.671856689E1,2.305038452E1,1.399179077E1
1.519748696E2,3.227510071E1,2.978355408E1,1.214987183E1
1.520749836E2,2.854687500E1,3.381599426E1,1.116061401E1
1.521750966E2,2.582200623E1,3.613641357E1,1.040841675E1
1.522752106E2,2.246362305E1,3.761003113E1,1.093444824E1
1.523753236E2,1.905828857E1,3.879394531E1,1.164477539E1
1.524754376E2,1.668612671E1,3.894250488E1,1.241226196E1
1.525755506E2,1.514472961E1,3.914341736E1,1.279193115E1
1.526756646E2,1.284913635E1,3.983592224E1,1.330734253E1
1.527757776E2,1.150131226E1,3.997872925E1,1.444674683E1
