"Time (s)","X (µT)","Y (µT)","Z (µT)"
9.227064754E1,3.981069946E1,2.710298920E1,-1.136450195E1
9.237076417E1,3.510978699E1,3.318890381E1,-1.510275269E1
9.247087917E1,3.514273071E1,3.440651703E1,-1.074169922E1
9.257099517E1,3.994662476E1,2.680039978E1,-9.488891602E0
9.267111017E1,4.062818909E1,2.336796570E1,-1.358560181E1
9.277122617E1,4.020208740E1,2.666333771E1,-8.628021240E0
9.287134217E1,3.649172974E1,3.209528351E1,-1.132296753E1
9.297145717E1,3.569046021E1,3.359447479E1,-1.035226440E1
9.307157317E1,4.076875305E1,2.566307831E1,-6.672058105E0
9.317168817E1,4.142324829E1,2.135108185E1,-1.168652344E1
9.327180417E1,4.144131470E1,2.325774384E1,-6.464508057E0
9.337191942E1,3.804545593E1,2.887957764E1,-1.044332886E1
9.347203442E1,3.771311951E1,3.081523895E1,-6.764801025E0
9.357215042E1,4.019032288E1,2.598505402E1,-5.630798340E0
9.367226542E1,4.161334229E1,2.183174133E1,-5.236938477E0
9.377238142E1,4.042948914E1,2.088666534E1,-1.301205444E1
9.387249742E1,3.893521118E1,2.045542908E1,-1.732199097E1
9.397261242E1,3.757353210E1,1.929424286E1,-2.164019775E1
9.407272842E1,3.718748474E1,1.831276703E1,-2.317678833E1
9.417284442E1,3.620861816E1,1.933522034E1,-2.404937744E1
9.427295942E1,3.561148071E1,2.389865875E1,-2.147567749E1
9.437307592E1,3.640274048E1,2.875418854E1,-1.390444946E1
9.447319092E1,3.578089905E1,2.783991241E1,-1.596023560E1
9.457330692E1,3.804354858E1,2.060231018E1,-1.896835327E1
9.467342292E1,3.911701965E1,1.702891541E1,-2.010696411E1
9.477353792E1,3.822300720E1,2.076949310E1,-1.903674316E1
9.487365392E1,3.635745239E1,2.684550476E1,-1.689685059E1
9.497376892E1,3.447396851E1,3.030791473E1,-1.607662964E1
9.507388492E1,3.671403503E1,2.468450928E1,-1.794091797E1
9.517400092E1,3.766950989E1,1.968140411E1,-2.082400513E1
9.527411592E1,3.720300293E1,2.238311768E1,-1.902465820E1
9.537423167E1,3.563468933E1,2.936841583E1,-1.284829712E1
9.547434667E1,3.446232605E1,3.036014557E1,-1.505209351E1
9.557446267E1,3.604396057E1,2.469744110E1,-1.983212280E1
9.567457867E1,3.655459595E1,1.952655792E1,-2.354248047E1
9.577469367E1,3.584992981E1,2.236228180E1,-2.224331665E1
9.587480967E1,3.127793884E1,3.245809174E1,-1.820755005E1
