"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.336087750E1,-3.543623984E-1,-1.038904428E0,1.141856551E0
1.346099250E1,6.515217572E-2,-6.956475228E-2,-1.088670731E0
1.356110750E1,2.267734259E-1,8.577028513E-1,4.339773357E-1
1.366122250E1,-6.306890398E-2,-4.003849030E-1,7.468343973E-1
1.376133750E1,-8.934977651E-2,1.220019817E0,-1.605311513E0
1.386145150E1,3.551425785E-2,2.790410221E-1,7.681621909E-1
1.396156650E1,1.077535674E-1,7.751217484E-1,-2.334928215E-1
1.406168150E1,6.599354744E-1,2.527661324E0,-1.819799304E0
1.416179650E1,9.540538192E-1,1.901278734E0,-1.743646979E0
1.426191150E1,1.339488029E0,4.258586407E0,-1.017171383E0
1.436202525E1,6.084458232E-1,2.452753544E0,-1.668311656E-1
1.446214025E1,-3.234281838E-1,1.087372661E0,-4.106324017E-1
1.456225525E1,-4.797020853E-1,-9.060443640E-1,-3.633088199E-3
1.466237025E1,-4.335137010E-1,-1.665711164E0,-5.904173106E-2
1.476248525E1,-3.356285393E-1,-2.373136997E0,-8.275818825E-2
1.486259925E1,4.655452818E-2,-9.831682444E-1,-2.125610858E-1
1.496271425E1,-5.163303018E-2,-9.614874125E-1,-4.368697852E-2
1.506282925E1,-8.876854181E-2,4.861131310E-2,-1.015350297E-1
1.516294425E1,8.394754492E-3,-6.683767438E-1,-9.718308225E-3
1.526305925E1,-3.281073645E-3,-1.276858687E0,5.085480213E-2
1.536317296E1,6.165025290E-3,-1.374058485E0,-2.276169807E-1
1.546328796E1,6.308463961E-2,-3.490575314E0,-3.010073304E-1
1.556340296E1,1.565626636E-2,-1.468611002E0,3.722830713E-1
1.566351796E1,4.298827350E-1,-4.385216162E-2,1.612493992E-1
1.576363296E1,3.745658100E-1,2.810629368E0,-8.284707367E-2
1.586374696E1,3.546135426E-1,6.275875092E0,-9.925459027E-1
1.596386196E1,-6.889476180E-1,2.640043497E0,-2.060262442E0
1.606397696E1,-1.818394959E-1,-4.295154572E0,2.006037474E0
1.616409196E1,6.002485752E-1,-1.207281113E1,-4.694327414E-1
1.626420696E1,5.439065099E-1,4.518919468E0,-2.057694644E-1
1.636432183E1,-4.442097247E-1,8.653981209E0,-2.134077072E0
1.646443683E1,-3.228322864E-1,-3.136704683E0,1.532452822E0
1.656455183E1,1.008691072E0,-1.338599110E1,2.328977436E-1
1.666466683E1,2.196288407E-1,2.908663034E0,-3.989806175E-1
1.676478183E1,1.261746604E-2,1.072055149E1,-1.562933803E0
1.686489683E1,-2.062356472E-1,-9.672010541E-1,-7.932094336E-1
1.696501083E1,6.338477135E-2,-4.752223015E0,1.935455799E0
1.706512583E1,7.773874402E-1,-4.418340683E0,-4.044830501E-1
1.716524083E1,-1.407799423E-1,-8.039361835E-1,-3.101405203E-1
1.726535583E1,-3.626654744E-1,-1.393082142E0,1.909415275E-1
1.736547046E1,-2.269470543E-1,-1.117613077E0,6.634941101E-1
1.746558546E1,4.447060451E-2,-4.386101961E-1,4.759544730E-1
1.756569946E1,2.586281598E-1,-1.777388901E-1,1.261189580E-1
1.766581446E1,6.359063089E-2,5.296889544E-1,-5.067769289E-1
1.776592946E1,1.856242716E-1,1.217267141E-1,-2.732487023E-1
1.786604446E1,1.748083830E-1,1.166123271E0,-3.655246198E-1
1.796615946E1,1.239049733E-1,1.157465458E0,-5.324400663E-1
1.806627446E1,2.458664216E-2,1.511311173E0,-2.516781092E-1
1.816638846E1,4.148693010E-2,2.639758348E0,-2.535232008E-1
1.826650346E1,-8.809343725E-2,2.601768255E0,-3.635091484E-1
1.836661858E1,-1.876342595E-1,2.314016342E0,-5.176053047E-1
1.846673358E1,-3.231783807E-1,3.072000504E0,-7.620860338E-1
1.856684858E1,-2.461497784E-1,1.753115177E0,-7.351118326E-1
1.866696358E1,-3.723844290E-1,7.593116164E-1,-2.555116415E-1
1.876707858E1,3.971471488E-1,-4.843906403E0,9.887153506E-1
1.886719258E1,4.830840528E-1,-8.906629562E0,5.352732539E-2
1.896730758E1,-2.029240131E-1,1.173317552E0,6.527288556E-1
1.906742258E1,-7.103790641E-1,1.126287460E1,-1.489431500E0
1.916753758E1,-2.092761844E-1,-1.321001887E0,8.813123107E-1
1.926765258E1,9.633708596E-1,-8.811471939E0,6.388911009E-1
1.936776750E1,-1.428970248E-1,-2.906107903E0,6.517885327E-1
1.946788250E1,-7.772101760E-1,1.093626404E1,-3.764771521E-1
1.956799650E1,-5.761219859E-1,8.529027700E-1,-8.389287591E-1
1.966811150E1,6.519606709E-1,-4.587284088E0,6.713468432E-1
1.976822650E1,1.296391964E0,-8.020022392E0,-8.106707931E-1
1.986834150E1,-5.696913600E-1,-1.155896068E0,9.208546281E-1
1.996845650E1,-1.385644674E0,1.283694649E1,4.192120954E-2
2.006857150E1,-6.379459500E-1,1.527439952E0,-1.054471254E0
2.016868650E1,3.599384129E-1,-3.700745106E-1,4.514140785E-1
2.026880150E1,2.304441214E0,-1.180295086E1,1.435277820E0
2.036891558E1,-1.491298974E-1,-6.691880226E-1,5.560573339E-1
2.046903058E1,-9.968715906E-1,8.052527428E0,-1.999394149E-1
2.056914558E1,-7.945705652E-1,3.961862803E0,-7.217375040E-1
2.066926058E1,2.554546297E-1,-1.517760873E0,2.589959800E-1
2.076937558E1,-4.362609610E-2,-1.715234637E0,3.133220077E-1
2.086949058E1,-2.028209418E-1,-1.997610807E0,5.071221590E-1
2.096960558E1,-4.989434183E-1,-2.232859135E0,4.395561814E-1
2.106972058E1,-1.489169598E-1,-2.568201542E0,1.366977394E-1
2.116983458E1,-8.415701240E-2,-2.871583700E0,-5.315091461E-2
2.126994958E1,-6.350390315E-1,-2.272998571E0,-3.639879227E-1
2.137006446E1,-1.598433852E-1,1.430217743E0,-6.771329641E-1
2.147017946E1,2.811001837E-1,6.503785849E-1,5.152059197E-1
2.157029446E1,1.756149158E-2,-1.456358910E0,5.961191654E-1
2.167040946E1,-3.152327240E-1,1.022855878E0,-9.848529696E-1
