"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.108978221E1,-1.205654025E0,2.993409932E-1,-8.343794346E-1
1.117989421E1,4.343748689E-1,7.289943695E-1,2.606214583E-1
1.127000471E1,9.936088920E-1,9.560454637E-2,9.153082371E-1
1.136011671E1,-1.264415383E-1,-1.362830997E-1,-3.521238863E-1
1.145022871E1,-1.466865659E0,-5.973440781E-2,-9.807910919E-1
1.154033971E1,5.513617396E-1,1.091166213E-2,-7.912390865E-3
1.163045171E1,1.387416363E0,5.585565791E-2,9.783545732E-1
1.172056271E1,-9.737989306E-2,1.949156374E-1,-4.129404128E-1
1.181067471E1,-1.381797314E0,5.112358928E-1,-1.082812786E0
1.190078671E1,5.599436164E-1,-3.738519251E-1,8.090742230E-1
1.199089771E1,9.038126469E-1,-1.106467605E0,1.223208666E0
1.208100971E1,-2.789317966E-1,1.185413361E0,-3.453201354E-1
1.217112071E1,-1.035561442E0,3.204862475E-1,-9.934412837E-1
1.226123263E1,4.308989644E-1,-1.947147995E-1,6.676301360E-1
1.235134362E1,5.942477584E-1,-9.489835501E-1,8.314114809E-1
1.244145563E1,-9.467282146E-2,1.290179014E0,-5.928044915E-1
1.253156763E1,-8.494360447E-1,-1.515614539E-1,-1.040195465E0
1.262167863E1,2.216105908E-1,-5.882503390E-1,2.027112097E-1
1.271179062E1,2.437353283E-1,5.845100880E-1,7.562148571E-2
1.280190163E1,5.793456435E-1,7.856449485E-1,-5.616640300E-2
1.289201363E1,6.068293452E-1,3.383230567E-1,5.666585639E-3
1.298212562E1,4.835045040E-1,4.532216787E-1,2.164186537E-1
1.307223663E1,2.386377901E-1,9.897322655E-1,3.097981811E-1
1.316234863E1,-5.503185093E-2,1.506061554E0,4.645240903E-1
1.325246037E1,-2.654050887E-1,7.957156897E-1,6.280310750E-1
1.334257238E1,-9.724461287E-2,6.700037718E-1,1.606281549E-1
1.343268338E1,1.496255398E-1,3.293446600E-1,-3.510389104E-2
1.352279537E1,3.301839530E-1,7.631251812E-1,-3.457770348E-1
1.361290738E1,-4.654188454E-2,-5.269938111E-1,-2.835186664E-3
1.370301838E1,-1.501760334E-1,3.129616082E-1,1.960728467E-1
1.379313038E1,-4.723408222E-1,8.541883826E-1,7.377444208E-2
1.388324137E1,-7.042083740E-1,-4.161952138E-1,4.590278268E-1
1.397335338E1,4.024608433E-1,1.334723473E0,-2.335171700E-1
1.406346438E1,9.532675147E-1,8.212728500E-1,-6.173222661E-1
1.415357637E1,-6.146501899E-1,-1.368929505E0,3.473531306E-1
1.424368808E1,4.521956667E-2,-1.079177141E0,1.789740175E-1
1.433379908E1,9.242995381E-1,1.112869859E0,-4.918043315E-1
1.442391108E1,-6.508952379E-1,2.858252823E-1,2.801485062E-1
1.451402208E1,-1.185985088E0,-5.933930874E-1,7.943015099E-1
1.460413408E1,5.967662334E-1,4.226626456E-1,-5.939511061E-1
1.469424508E1,3.357808590E-1,1.288491786E-1,-7.480794191E-1
1.478435708E1,-3.444153368E-1,1.329980604E-2,8.198283613E-2
1.487446908E1,-5.782345533E-1,-5.280374885E-1,5.217351317E-1
1.496458008E1,-2.007599920E-2,7.599719167E-1,-3.882400692E-2
1.505469208E1,2.918649018E-1,-8.931088448E-2,9.021628648E-2
1.514480308E1,4.600737691E-1,1.743770689E-1,-1.328804791E-1
1.523491458E1,6.595386863E-1,6.273563504E-1,-3.341236115E-1
1.532502558E1,-1.552211195E-1,-5.795815960E-2,6.198555231E-2
1.541513758E1,-7.743218541E-1,-3.764299750E-1,3.481244147E-1
1.550524958E1,2.548485994E-1,-7.794770002E-1,-7.267274708E-2
1.559536058E1,7.028321624E-1,1.190357089E0,-6.804857254E-1
1.568547258E1,-1.876881570E-1,-6.546174288E-1,9.105990827E-2
1.577558358E1,-1.184573889E0,1.439227909E-1,3.898568451E-1
1.586569558E1,7.753776312E-1,-6.036630869E-1,-2.342071533E-1
1.595580658E1,1.214080691E0,1.067943051E-1,-4.899597764E-1
1.604591858E1,-7.108930349E-1,4.552428722E-1,4.306550324E-1
1.613602958E1,-1.173064113E0,2.345543504E-1,5.921736360E-1
1.622614138E1,9.028978944E-1,5.495882630E-1,-3.888853490E-1
1.631625338E1,3.666758537E-1,-5.862857103E-1,-1.273475885E-1
1.640636438E1,-7.819122672E-1,-6.856727004E-1,4.440556169E-1
1.649647638E1,1.086108238E-1,-3.378201723E-1,8.279109001E-2
1.658658738E1,7.036964297E-1,4.684976041E-1,-3.697637618E-1
1.667669937E1,7.560527325E-2,1.008495614E-1,1.289075911E-1
1.676681038E1,-6.534378529E-1,5.309590101E-1,2.185212523E-1
1.685692238E1,8.356623352E-2,3.144921660E-1,-1.199189126E-1
1.694703337E1,9.198769927E-2,4.007256627E-1,-2.918531597E-1
1.703714538E1,1.273403764E-1,-2.488788813E-1,-4.745279998E-2
1.712725638E1,2.060403526E-1,7.123980522E-1,-3.826536834E-1
1.721736921E1,6.108548045E-1,3.115853369E-1,-4.069571495E-1
1.730748121E1,9.285680205E-2,4.746903852E-2,1.645835936E-1
1.739759221E1,-9.673997760E-2,-3.926768303E-1,4.385718107E-1
1.748770421E1,-3.756975830E-1,-1.893113703E-1,4.435632229E-1
1.757781521E1,-5.918012857E-1,-6.850716472E-1,3.957155049E-1
