"Time (s)","X (µT)","Y (µT)","Z (µT)"
3.416155237E2,3.663023376E1,1.429968262E1,-2.839120483E1
3.417156387E2,2.642025757E1,1.458824921E1,-3.873669434E1
3.418157537E2,1.731973267E1,1.436157227E1,-4.453713989E1
3.419158687E2,1.267958069E1,1.410719299E1,-4.659167480E1
3.420159837E2,9.995620728E0,1.231536865E1,-4.777529907E1
3.421160987E2,1.020426941E1,1.090718842E1,-4.826046753E1
3.422162137E2,1.094352722E1,1.021884155E1,-4.826803589E1
3.423163283E2,9.772521973E0,8.899414062E0,-4.874218750E1
3.424164433E2,7.872100830E0,8.270988464E0,-4.935354614E1
3.425165583E2,1.041841125E1,8.140502930E0,-4.858221436E1
3.426166733E2,1.246759033E1,7.970298767E0,-4.815606689E1
3.427167893E2,9.640792847E0,6.880615234E0,-4.916918945E1
3.428169043E2,1.094306946E1,6.090492249E0,-4.891622925E1
3.429170193E2,1.350009155E1,5.859352112E0,-4.816259766E1
3.430171343E2,1.141494751E1,5.339622498E0,-4.870568848E1
3.431172493E2,1.002731323E1,4.968795776E0,-4.893878174E1
3.432173643E2,1.255152893E1,4.556221008E0,-4.828494263E1
3.433174795E2,1.157736206E1,3.644340515E0,-4.872604370E1
3.434175945E2,8.947891235E0,2.833862305E0,-4.925735474E1
3.435177095E2,1.070831299E1,4.575668335E0,-4.859536743E1
3.436178245E2,1.326750183E1,5.023963928E0,-4.785058594E1
3.437179395E2,1.029521179E1,4.769210815E0,-4.858062744E1
3.438180545E2,9.604660034E0,5.067420959E0,-4.871871948E1
3.439181705E2,1.326496887E1,5.174087524E0,-4.776708984E1
3.440182855E2,1.122348022E1,4.153305054E0,-4.847586060E1
3.441184005E2,1.079783630E1,4.154968262E0,-4.848458862E1
3.442185155E2,1.465687561E1,4.626960754E0,-4.735876465E1
3.443186299E2,1.230358887E1,3.541770935E0,-4.828256226E1
3.444187449E2,1.414337158E1,4.492210388E0,-4.738348389E1
3.445188599E2,1.348730469E1,4.736930847E0,-4.781262207E1
3.446189749E2,1.310452271E1,5.237930298E0,-4.789102173E1
3.447190899E2,1.262329102E1,5.350921631E0,-4.790274048E1
3.448192049E2,1.162185669E1,4.965652466E0,-4.819427490E1
3.449193199E2,9.511352539E0,4.137329102E0,-4.860314941E1
3.450194349E2,9.412750244E0,4.148468018E0,-4.877059937E1
3.451195499E2,1.322355652E1,3.547409058E0,-4.751544189E1
3.452196659E2,1.045104980E1,3.959884644E0,-4.832775879E1
3.453197810E2,1.172428894E1,4.656967163E0,-4.792541504E1
3.454198960E2,1.242042542E1,3.285606384E0,-4.783779907E1
3.455200110E2,9.989700317E0,1.985107422E0,-4.847854614E1
3.456201260E2,8.645462036E0,1.284538269E0,-4.898089600E1
3.457202410E2,8.769256592E0,2.102340698E0,-4.907223511E1
3.458203560E2,1.036557007E1,2.724891663E0,-4.868826294E1
3.459204710E2,1.012794495E1,3.746879578E0,-4.864556885E1
3.460205860E2,1.209716797E1,6.317283630E0,-4.809967041E1
3.461207010E2,1.786888123E1,9.078041077E0,-4.577276611E1
3.462208160E2,2.462528992E1,1.091342163E1,-4.206997681E1
3.463209305E2,3.033465576E1,1.117144775E1,-3.774530029E1
3.464210455E2,3.781593323E1,1.065553284E1,-2.969958496E1
3.465211605E2,4.264849854E1,1.075225830E1,-2.158743286E1
3.466212765E2,4.515603638E1,1.044528961E1,-1.604421997E1
3.467213915E2,4.563124084E1,1.104688263E1,-1.337490845E1
3.468215065E2,4.531916809E1,1.182134247E1,-1.379101562E1
3.469216215E2,4.473995972E1,1.294221497E1,-1.501214600E1
3.470217365E2,4.303649902E1,1.413955688E1,-1.889102173E1
3.471218515E2,4.091737366E1,1.554090881E1,-2.287469482E1
3.472219665E2,3.549165344E1,1.605060577E1,-3.059118652E1
3.473220816E2,2.147741699E1,1.772095490E1,-4.171124268E1
3.474221966E2,1.840946960E1,1.704163361E1,-4.370742798E1
3.475223116E2,2.153463745E1,1.631752777E1,-4.214636230E1
3.476224266E2,3.368710327E1,1.437677002E1,-3.331304932E1
3.477225416E2,4.193984985E1,1.623255920E1,-2.017355347E1
3.478226566E2,3.939878845E1,1.517832947E1,-2.406320190E1
3.479227716E2,1.886988831E1,1.388661957E1,-4.309707642E1
3.480228866E2,2.565089417E1,1.243869019E1,-3.828646851E1
3.481230016E2,4.267015076E1,1.443182373E1,-1.362161255E1
3.482231166E2,4.339987183E1,1.962757111E1,-7.358062744E0
3.483232320E2,3.927444458E1,1.586588287E1,-2.119525146E1
3.484233480E2,2.654589844E1,1.493688202E1,-3.712728882E1
3.485234630E2,2.128109741E1,1.599195862E1,-4.022741699E1
3.486235780E2,1.994580078E1,1.705282593E1,-4.049679565E1
3.487236930E2,1.902319336E1,1.661779785E1,-4.121679688E1
3.488238080E2,1.867706299E1,1.520915222E1,-4.200064087E1
3.489239230E2,1.951397705E1,1.494981384E1,-4.191665649E1
3.490240380E2,2.234565735E1,1.545273590E1,-4.014593506E1
3.491241530E2,2.907781982E1,1.787486267E1,-3.423193359E1
3.492242680E2,3.807672119E1,2.089897919E1,-2.083990479E1
3.493243828E2,4.134733582E1,2.366206360E1,-8.494720459E0
3.494244978E2,4.071412659E1,2.644239044E1,3.968200684E-1
3.495246128E2,3.823164368E1,2.929138947E1,7.274322510E0
3.496247278E2,3.533076477E1,3.065660095E1,1.299505615E1
3.497248428E2,3.218034363E1,3.169067383E1,1.829415894E1
3.498249578E2,3.040844727E1,3.151899719E1,2.168576050E1
3.499250728E2,3.416716003E1,2.902384949E1,1.825601196E1
3.500251878E2,4.004307556E1,2.519868469E1,-6.588073730E0
3.501253038E2,3.429795837E1,2.240190887E1,-2.623049927E1
3.502254188E2,3.710290527E1,2.421262360E1,-1.781652832E1
3.503255339E2,3.490621948E1,2.990589905E1,1.572756958E1
3.504256489E2,3.280979919E1,3.034804535E1,1.872924805E1
3.505257639E2,3.941542053E1,2.724231720E1,4.482055664E0
3.506258789E2,3.839573669E1,2.580770874E1,-1.446792603E1
3.507259939E2,3.859886169E1,2.635247040E1,-1.037600708E1
3.508261089E2,3.491014099E1,2.947526550E1,1.600042725E1
3.509262239E2,3.581576538E1,2.933316803E1,1.324218750E1
3.510263389E2,3.305378723E1,3.046574402E1,1.703372192E1
3.511264539E2,3.256692505E1,2.956286621E1,1.942291260E1
3.512265689E2,3.354454041E1,2.705197906E1,2.126644897E1
3.513266845E2,3.929420471E1,2.395060730E1,1.237313843E1
3.514267995E2,4.322613525E1,1.936027527E1,-1.816223145E0
3.515269145E2,4.044738770E1,1.567745209E1,-1.945919800E1
3.516270295E2,3.176321411E1,1.423722839E1,-3.333892822E1
3.517271445E2,2.352304077E1,1.593609619E1,-3.924264526E1
